CSS Property,TestThemeHook,FilterToggle,FilterGroup,ChatInput,ChatMessage,ChatMessages,QAChat,ChatDialog,Accordion,AccordionList,BasicLayout,GridItem,Grid,ImageCard,TextCard,VideoCard,Link,LinkList,GridLayout,ProgressIndicator,Callout,ProgressToast,RainDrops,Avatar,Icon,Subheader,Indicator,TagList,IconRefresh,Tag,List,McpText,Weather,WeatherIcon,WeatherDebugPanel,IconButton,Button,GemButton,PromptButton,CanvasAnimation,AnimatedTextPath,AnimatedTextPathSpag,TopNav,ChatTrigger,VideoTile,Footer,FooterTitle,Experience,Introduction,Process,Details,Intro,Header,ImageGrid,Fresha,Principles,Title,Image,Root,Section,Shell,Prefix,AnimatedBackground,Text,TestTwo,TestThree,TestOne
aspect-ratio,,,,,,,,,,,,.square-cell: 1/1,,,,,,,.grid-item[data-grid-size='2-2']: 1 / 1,,,,,.avatar-xs: 4 / 5 | .avatar-sm: 4 / 5 | .avatar-md: 4 / 5 | .avatar-lg: 4 / 5,,,,,,,,,,,,,,,,,,,,.chat-trigger: 4 / 5,,,,,,,,,,.dialog-section-grid: 16 / 9,,,,,,,,.image-container: 1 / 1,,,,,
backdrop-filter,,,,,,,,.chat-dialog::backdrop: blur(4px) | from: blur(0px) | to: blur(4px),,,,,,,,,,,,,,,,,,,,,,,,,,,.debug-panel: blur(10px),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backface-visibility,,,,,,,,,,,,,,,,,,,,,,,,".glitch-red,
  .glitch-green,
  .glitch-blue: hidden | .glitch-active,
  .glitch-active .avatar-image,
  .glitch-red,
  .glitch-green,
  .glitch-blue,
  .glitch-scanlines: hidden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
background,,,,,".message-bubble: var(--bg-primary) | .user-bubble: var(--bg-primary) | .assistant-bubble: var(--bg-inverse) | .loading-bubble: var(--bg-page) | .error-content: var(--error-bg, #fef2f2)",,,.chat-dialog: transparent | .chat-dialog::backdrop: var(--bg-page-20),,,,,,,,,,,,,,,,".glitch-scanlines: repeating-linear-gradient(
      0deg,
      transparent,
      transparent 2px,
      rgba(255, 255, 255, 0.05) 2px,
      rgba(255, 255, 255, 0.05) 4px
    )",.icon-missing: #f3f4f6,,,,,,,,,,".debug-panel: rgba(0, 0, 0, 0.95) | .debug-header: rgba(255, 255, 255, 0.1) | .collapse-btn,
  .close-btn: none | .collapse-btn:hover,
  .close-btn:hover: rgba(255, 255, 255, 0.2) | .state-display: rgba(255, 255, 255, 0.05) | .scenario-btn: rgba(255, 255, 255, 0.1) | .scenario-btn:hover: rgba(255, 255, 255, 0.2) | .scenario-btn:active: rgba(255, 255, 255, 0.3) | .debug-content::-webkit-scrollbar-track: rgba(255, 255, 255, 0.1) | .debug-content::-webkit-scrollbar-thumb: rgba(255, 255, 255, 0.3) | .debug-content::-webkit-scrollbar-thumb:hover: rgba(255, 255, 255, 0.5)",,,,.prompt-btn: transparent,,,,,,,,,,,,".title::after: currentColor | li::before: var(--before-color, currentColor)",,,,,.dialog-principles-word-wrapper: transparent,,,,,,,,,,,
background-color,,.filter-toggle: var(--bg-pae) | .filter-toggle.active: var(--bg-primary),,,,,,,button: var(--bg-page),,,,,,,".play-indicator: rgba(0, 0, 0, 0.6)",".primary: var(--primary-color, #3b82f6) | .primary:hover:not(.disabled): var(--primary-hover-color, #2563eb) | .secondary: transparent | .secondary:hover:not(.disabled): var(--secondary-hover-color, #f3f4f6)",,,.indicator: rgb(var(--color-bg-page)) | .bridge: rgb(var(--color-bdr-muted)) | .bridge.active: rgb(var(--color-bdr-primary)),".callout-Indicator: rgb(143, 239, 0)",.progress-toast: rgba(var(--bg-inverse) / 0) | .progress-dots: rgba(var(--bg-positive) / 0.8) | .dot-inner: rgba(var(--fg-positive) / 0.2) | .progress-dot.visited .dot-inner: rgba(var(--fg-positive) / 1),,.avatar: rgba(var(--bg-page) / 0),,,.indicator: var(--fg-text-danger),,,.tag--primary: transparent | .tag--inverse: transparent,,".mcp-text: rgba(166, 12, 12, 0.8)",.location-info-root: var(--bg-page) | .loading-state: var(--bg-page),,,.inverse: var(--bg-primary) | .primary: var(--bg-page),.inverse: var(--bg-primary) | .inverse:hover: var(--bg-primary) | .inverse:active: var(--bg-primary) | .primary: var(--bg-page) | .primary:hover: var(--bg-page) | .primary:active: var(--bg-page),,".prompt-btn--secondary: var(--bg-secondary, var(--bg-page)) | .prompt-btn--secondary:hover:not(.prompt-btn--disabled): var(--bg-secondary-hover, var(--bg-primary))",".canvas-container: rgba(255, 192, 203, 0) | .loading,
  .error: rgba(207, 8, 154, 0)",,,,.chat-trigger: var(--bg-page),,.dialog-completion-message: rgba(var(--bg-inverse) / 0.8),,,,,,,,".grid-area: rgba(0, 0, 255, 0.3)",,,,".image-container: rgba(
      255,
      192,
      203,
      0.1
    )",.dialog-backdrop: var(--bg-overlay),,,,,,,,
background-position,,,,,,,,,,,,,,,,,,,,,,,,".avatar-image: top | .glitch-red,
  .glitch-green,
  .glitch-blue: top",,,,,,,,,,,,,,,,,,,,.profile-image: top,,,,,,,,,,,,,,,,,,,,,,,
background-repeat,,,,,,,,,,,,,,,,,,,,,,,,".avatar-image: no-repeat | .glitch-red,
  .glitch-green,
  .glitch-blue: no-repeat",,,,,,,,,,,,,,,,,,,,.profile-image: no-repeat,,,,,,,,,,,,,,,,,,,,,,,
background-size,,,,,,,,,,,,,,,,,,,,,,,,".avatar-image: cover | .glitch-red,
  .glitch-green,
  .glitch-blue: cover",,,,,,,,,,,,,,,,,,,,.profile-image: cover,,,,,,,,,,,,,,,,,,,,,,,
border,,.filter-toggle: none,,,".error-content: 1px solid var(--error-border, #fecaca)",,,.chat-dialog: none,button: none,,,,,,,.video-card: none,,,,,.callout-Indicator: 1.5px solid rgb(var(--color-bdr-muted)),.dot-inner: 1px solid rgba(var(--fg-positive) / 0.4),,.avatar: none,.icon-missing: 1px dashed #d1d5db,,.indicator: 2px solid var(--bg-page),,,,,,,,".debug-panel: 1px solid rgba(255, 255, 255, 0.2) | .collapse-btn,
  .close-btn: none | .scenario-btn: 1px solid rgba(255, 255, 255, 0.2)",.btn: none,.btn: none,,.prompt-btn: 1px solid transparent,,,,,.chat-trigger: none,.circle-indicator: 1px solid #989cb8,,,,,,,,,,,,,".image-container: 1px solid rgba(255, 192, 203, 0.3)",.dialog-backdrop: none,,,,,,,,
border-bottom,,,,,,,,,button: 1px solid var(--fg-text-primary),,,,,,,,,,,,,,,,,,,,,,,,,,".debug-header: 1px solid rgba(255, 255, 255, 0.1) | .control-section h4: 1px solid rgba(255, 255, 255, 0.1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
border-color,,,,,.assistant-bubble: var(--fg-text-primary),,,,,,,,,,,,,,,,,.progress-dot.visited .dot-inner: rgba(var(--fg-positive) / 1),,,,,,,,,,,,,,,,,".prompt-btn--default: var(--fg-text-primary-40) | .prompt-btn--default:hover:not(.prompt-btn--disabled): var(--fg-text-primary-60) | .prompt-btn--default:active:not(.prompt-btn--disabled): var(--fg-text-primary-20) | .prompt-btn--secondary: var(--border-secondary, var(--fg-text-primary-30)) | .prompt-btn--secondary:hover:not(.prompt-btn--disabled): var(--bg-primary)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
border-radius,,.filter-toggle: var(--bdr-radius-small),,,".message-bubble: 18px | .user-bubble: var(--bdr-radius-small) var(--bdr-radius-small) 0px
      var(--bdr-radius-small) | .assistant-bubble: var(--bdr-radius-small) var(--bdr-radius-small)
      var(--bdr-radius-small) 0px | .loading-bubble: 18px | .error-content: 8px",,,,,,,,,,,.play-indicator: 50%,.link: 0.25rem,,.grid-item: var(--bdr-radius-small),,.callout-Indicator: var(--bdr-radius-pill),.progress-toast: var(--bdr-radius-small) | .progress-dots: var(--bdr-radius-pill) | .progress-dot: var(--bdr-radius-pill) | .dot-inner: var(--bdr-radius-pill),,".avatar: var(--bdr-radius-small) | .avatar-image: var(--bdr-radius-tiny) | .glitch-red,
  .glitch-green,
  .glitch-blue: var(--bdr-radius-tiny) | .glitch-scanlines: var(--bdr-radius-small)",.icon-missing: 4px,,.indicator: var(--bdr-radius-pill),,,.tag: var(--bdr-radius-pill),,,.location-info-root: var(--bdr-radius-small),,".debug-panel: 8px | .collapse-btn,
  .close-btn: 4px | .state-display: 4px | .scenario-btn: 4px | .debug-content::-webkit-scrollbar-thumb: 3px",.btn: var(--bdr-radius-small),.btn: var(--bdr-radius-small),,.prompt-btn: var(--bdr-radius-pill),,,,,.chat-trigger: var(--bdr-radius-small) | .profile-image: var(--bdr-radius-tiny),.circle-indicator: 999px,.dialog-completion-message: var(--bdr-radius-small),,,,,li::before: 2px,,,,,,,.image-container img: var(--bdr-radius-medium),,,,.image-container img: var(--bdr-radius-medium),,,,,
border-style,,,,,.assistant-bubble: solid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
border-width,,,,,.assistant-bubble: 1px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.sr-only: 0,.sr-only: 0,,,,,,,,,,,,,,,,,,,,,,,,,
bottom,,,,,,,,,,,,,,,,,,,,,,,,".glitch-red,
  .glitch-green,
  .glitch-blue: 4px",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
box-shadow,,.filter-toggle: inset 0 0px 0px 1px var(--bg-primary) | .filter-toggle:hover: inset 0 0px 0px 2px var(--bg-primary) | .filter-toggle.active: inset 0 0px 0px 4px var(--bg-primary) | .filter-toggle.active:hover: inset 0 0px 0px 2px var(--bg-primary),,,,,,,,,,,,,,,,,,,.callout-Indicator: inset 0 0 0 2px white,.progress-toast: inset 0 0 0 1px rgba(var(--bdr-primary) / 0),,.avatar: inset 0 0 0 1px rgba(var(--fg-text-primary) / 1),,,,,,.tag--primary: 0 0 0 1px currentColor | .tag--inverse: 0 0 0 1px currentColor,,,.location-info-root: inset 0 0 0 1px var(--fg-text-primary),,".debug-panel: 0 8px 32px rgba(0, 0, 0, 0.5)",.inverse: inset 0 0px 0px 1px var(--bg-primary) | .primary: inset 0 0px 0px 1px var(--bg-inverse),.inverse: inset 0 0px 0px 1px var(--bg-primary) | .primary: inset 0 0px 0px 1px var(--bg-inverse),,.prompt-btn--disabled: none !important,,,,,.chat-trigger: inset 0 0 0 1px var(--fg-text-primary),,.dialog-completion-message: inset 0 0 0 1px rgba(var(--bdr-primary) / 0),,,,,,,,,,,,,,,,,,,,,
box-sizing,,,,,.loading-bubble: border-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.tile-header: border-box | .tile-footer: border-box,,,,,,,,,,,,,,,,,,,,,,
clip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".sr-only: rect(0, 0, 0, 0)",".sr-only: rect(0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,
color,,.filter-toggle: var(--fg-text-primary) | .filter-toggle.active: var(--fg-text-inverse),,.message-input::placeholder: var(--fg-text-inverse-60),".user-bubble: var(--fg-text-inverse) | .assistant-bubble: var(--fg-text-primary) | .message-time: var(--fg-text-primary) | .user-meta .message-time: var(--fg-text-primary) | .loading-bubble: var(--fg-text-primary) | .error-title: var(--error-text, #dc2626) | .error-details: var(--error-text-secondary, #7f1d1d)",,,,button: var(--fg-text-primary) | button:hover: var(--fg-text-primary-80) | button:active: var(--fg-text-primary),,,,,,h2: rgb(var(--color-txt-primary)) | p: rgb(var(--color-txt-primary)),.play-indicator: white,".primary: white | .secondary: var(--text-color, #374151)",.nav-link: var(--fg-text-primary-60) | .nav-link:hover: var(--fg-text-primary) | .nav-link.active: var(--fg-text-primary),,".indicator: var(--fg-text-muted, #666) | .indicator.active: var(--fg-text, #000)",.callout-text: rgb(var(--color-txt-muted)),.progress-toast: rgb(var(--color-txt-primary)),,,.icon-missing: #6b7280,.subheader.primary: var(--fg-text-primary) | .subheader.inverse: var(--fg-text-inverse),,,,.tag--primary: var(--fg-text-primary) | .tag--inverse: var(--fg-text-inverse),.list__item-name: var(--fg-text-primary) | .list__item-separator: var(--fg-text-primary-80) | .list__item-role: var(--fg-text-primary-80),.text-content: #ffffff,.weather-text-primary: var(--fg-text-primary) | .weather-text-secondary: var(--fg-text-secondary) | .loading-text: var(--fg-text-secondary),,".debug-panel: white | .collapse-btn,
  .close-btn: white | .state-display h4: #ccc | .label: #aaa | .value.active: #4ade80 | .value.loading: #3b82f6 | .value.error: #ef4444 | .value.success: #10b981 | .control-section h4: #ccc | .scenario-btn: white",,.btn: inherit | .inverse: var(--fg-text-inverse) | .primary: var(--fg-text-primary),,".prompt-btn--default: var(--fg-text-primary-60) | .prompt-btn--default:hover:not(.prompt-btn--disabled): var(--fg-text-primary) | .prompt-btn--default:active:not(.prompt-btn--disabled): var(--fg-text-primary-20) | .prompt-btn--secondary: var(--fg-text-secondary, var(--fg-text-primary)) | .prompt-btn--secondary:hover:not(.prompt-btn--disabled): var(--fg-text-inverse)",,,,p: var(--fg-text-primary),,.subject-text: #989cb8 | .duration-text: #989cb8 | .video-title: #26272d,".dialog-completion-message: rgb(var(--color-txt-primary)) | .dialog-completion-message p: rgba(var(--color-txt-secondary), 0.8)",.footer-title-root: var(--fg-text-primary),div: rgb(var(--fg-text-primary)) | .p-3: rgb(var(--fg-positive)),div: rgb(var(--fg-text-primary)),div: rgb(var(--fg-text-primary)),.title: rgba(var(--color-txt-primary)) | span: rgb(var(--color-txt-primary)) | li: rgb(var(--color-txt-primary)) | .dash: rgb(var(--color-txt-primary)),p: rgb(var(--fg-text-primary)),,,,,h1: rgb(var(--fg-text-primary)),,,.section-root: rgb(var(--fg-text-primary)),,"h2,
  div: rgb(var(--fg-text-primary))",,.dialog-text-section-text: rgb(var(--fg-text-primary)),,,
container-type,,,,,,,,,,,,,,,,,,,,,,,,.avatar: inline-size,,,,,,,,,,,,,,,,,,,,.chat-trigger: inline-size,,,,,,,,,,,,,,,,,,,,,,,
content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.title::after: '' | li::before: '',,,,,,,,,,,,,,,,
cursor,,.filter-toggle: pointer,,.message-input:disabled: not-allowed,,,,,,,,,,,,.video-card: pointer,.disabled: not-allowed,,,,,,,.avatar-button: pointer | .avatar-button:disabled: not-allowed,,,,,,,,,,,".debug-panel.dragging: grabbing | .debug-header: grab | .debug-header:active: grabbing | .collapse-btn,
  .close-btn: pointer | .scenario-btn: pointer",.btn:disabled: not-allowed,.btn: pointer,,.prompt-btn: pointer | .prompt-btn--disabled: not-allowed,.animation-canvas: default | .animation-canvas.clickable: pointer | .animation-canvas.hoverable: pointer,,,,.chat-trigger: pointer,.video-thumbnail: pointer,,,,,,,,,,,,,,.dialog-backdrop: default,,,,,,,,
display,,.filter-toggle: inline-flex,.filter-group::-webkit-scrollbar: none,,.message: flex | .user-content: flex | .message-avatar: flex | .error-content: flex,.messages-container: flex,,.chat-dialog[open]: flex,.wrapper: flex | button: flex | .label: flex | :global(.gsap-char): inline-block | :global(.gsap-space): inline-block,,.basic-layout-top-bar: flex,,,.image-card: block | .cover-image: block,.text-card: flex | .tag-container: flex,.video-card: flex | .cover-video::-webkit-media-controls: none !important | .cover-video::-webkit-media-controls-panel: none !important | .play-indicator: flex,.link: inline-flex,ul: flex,,.progress-container: flex | .indicator: flex | .bridge: flex,.callout-root: flex,.progress-toast: flex | .progress-content: flex | .progress-dots: flex,,".avatar: flex | .avatar-image: flex | .glitch-red,
    .glitch-green,
    .glitch-blue,
    .glitch-scanlines: none !important",.icon: inline-block | .icon-missing: inline-flex,,.indicator: inline-block,.tag-list: flex,,.tag: inline-flex,.list: flex | .list__item--structured: flex,.flex-container: flex,.location-info-root: flex | .weather-state-container: flex | .weather-icon-slot: flex | .weather-content: flex | .weather-action-slot: flex,,.debug-header: flex | .header-controls: flex | .state-info: flex | .state-item: flex | .button-grid: grid | .scenario-grid: flex,,.btn: inline-flex | .full-width: inline-flex | .btn-layout: flex,,.prompt-btn: inline-flex,".canvas-container: flex | .animation-canvas: block | .animation-canvas.hidden: none | .loading,
  .error: flex",.animated-text-path: none,.animated-text-path: none,.left-wrapper: flex | .left: flex | .name-and-links: flex | .right: flex,.chat-trigger: flex | .profile-image: flex,.tile-header: flex | .subject-tag: flex | .duration-info: flex | .tile-footer: flex,.dialog-completion-message: flex,.footer-title-root: flex | .title-line: block,div: inline-flex,div: inline-flex,div: inline-flex,.layout: inline-flex | .title: flex | .title::after: block | ul: flex | li: flex | li::before: inline-block,,.dialog-header: flex,,,.animation-segment: inline-block | .fallback-image: block,,.image-container img: block,,.section-root: flex,,.prefix-root: flex | .image-container: flex | .image-container img: block | .prefix-root:has(.image-container): flex,,.dialog-text-section: flex | .dialog-text-section-content: flex,,,
filter,,,,,,,,,,,,,,,,,,,,,,,,".glitch-red: sepia(1) saturate(10) hue-rotate(-60deg) brightness(1.2)
      contrast(1.5) | .glitch-green: sepia(1) saturate(10) hue-rotate(60deg) brightness(1.1)
      contrast(1.3) | .glitch-blue: sepia(1) saturate(10) hue-rotate(180deg) brightness(1.3)
      contrast(1.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flex,,,,,.message-content: 1,.messages-container: 1,,,,,.basic-layout-main: 1,,,,,,,,,.bridge: 0 0 16px | .bridge.active: 1 0 auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flex-direction,,,,,.user-message: row-reverse | .user-content: column,.messages-container: column,,,.wrapper: column | button: row | .label: row,,,,,,.text-card: column-reverse | .tag-container: row,.video-card: column-reverse,,ul: row,,.progress-container: row,.callout-root: row,.progress-toast: row | .progress-content: row | .progress-dots: row,,,,,,.tag-list--horizontal: row | .tag-list--vertical: column,,,.list: column,.flex-container: row,.location-info-root: column | .weather-state-container: row | .weather-content: column,,.state-info: column | .scenario-grid: column,,,,,,,,nav: row | .name-and-links: column,,.tile-header: row | .subject-tag: row | .duration-info: row | .tile-footer: row,.footer-section-root: row | .footer-section-content: column | .dialog-completion-message: column,.footer-title-root: column,div: column,div: column,div: column,.dialog-details: row | ul: column,,,,,,section: row,,,,,.prefix-root: column,,.dialog-text-section: column | .dialog-text-section-content: column,,,
flex-flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.layout: column,,,,,,,,,,,,,,,,
flex-grow,,,,,,,,,.label: 1,,,,,,,,,,,,,,,,,,,,,,,,.weather-content: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.image-container: 0,,,,,
flex-shrink,,,,,.message-avatar: 0 | .error-icon: 0,,,,,,,,,,,,,,,,,,,,.icon: 0,,,,,,,.text-content: 0,.weather-icon-slot: 0 | .weather-action-slot: 0,,,,.btn: 0,,.prompt-btn: 0,,,,,,,,,,,,,,,,,.image-segment: 0 | .animation-segment: 0,,,,,,.prefix-root: 0 | h2: 0 | p: 0 | .image-container: 0,,,,,
flex-wrap,,,.filter-group: wrap,,,,,,,,,,,,,,,,,,,,,,,,,.tag-list--wrap: wrap,,,,,,,,,,,,,,,,,,,,,,,li: nowrap,,,,,,,,,,,,,,,,
font-family,,.filter-toggle: var(--font-family-main),,,.loading-text: var(--font-family-alt),,,,,,,,,,,,,,,".bracket-left,
  .bracket-right,
  .step-number: var(--font-family-alt)",.callout-text: var(--font-family-main),,,,,.subheader: var(--font-family-main),,,,,,".text-content: 'Geist Mono', monospace",.location-info-root: var(--font-family-main) | .weather-text-primary: var(--font-family-main) | .weather-text-secondary: var(--font-family-main) | .loading-text: var(--font-family-alt),,".debug-panel: var(--font-family-alt, monospace)",,,,.prompt-btn: var(--font-family-main),,,,,,".subject-text: 'Geist Mono', monospace | .duration-text: 'Geist Mono', monospace | .video-title: 'Geist', sans-serif",,,,,,.title: var(--font-family-alt),,,,,,,,,,,,,,,,
font-size,,.filter-toggle: var(--fs-350),,".message-input: max(16px, 0.875rem) | .hint-text: 0.6875rem",.message-bubble p: 1.2rem | .message-time: 0.75rem | .loading-text: var(--fs-200) | .error-icon: 1.25rem | .error-title: 0.875rem | .error-details: 0.8125rem,,,,button: var(--fs-xxlarge-clamped),,,,,,,,,"ul: clamp(16px, 4vw, 24px)",,.indicator: var(--fs-300),.callout-text: var(0--fs-tiny-clamped),.progress-toast: var(--fs-200),,,.icon-missing: 10px,.subheader: var(--fs-xlarge-clamped),,,,.tag: var(--fs-350),,.text-content: 1rem,.weather-text-primary: var(--fs-275) | .weather-text-secondary: var(--fs-200),,".debug-panel: 12px | .debug-header h3: 14px | .collapse-btn,
  .close-btn: 12px | .state-display h4: 12px | .label: 11px | .value: 11px | .control-section h4: 12px | .scenario-btn: 11px",,.btn: var(--fs-300),.gem-button: 1.25rem,.prompt-btn: var(--fs-300),,,,p: var(--fs-300),,.subject-text: 12px | .duration-text: 12px | .video-title: 14px,.dialog-completion-message: var(--fs-200) | .dialog-completion-message span: var(--fs-300) | .dialog-completion-message p: var(--fs-200),.footer-title-root: var(--fs-large-clamped),"div: clamp(18px, 4vw, 28px)","div: clamp(18px, 4vw, 28px)","div: clamp(18px, 4vw, 28px)",.title: var(--fs-300),"p: clamp(var(--fs-500), 4vw, var(--fs-800))",,,,,h1: var(--fs-700),,,,,"h2: clamp(1.5rem, 4vw, 2.5rem) | p: clamp(var(--fs-250), 3vw, var(--fs-400))",,".dialog-text-section-text: clamp(var(--fs-350), 4vw, var(--fs-500))",,,
font-style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.text-content: normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
